,event_id,bout_id,event_date,fighter_id,opponent_id,result,status,cancellation_reason,weight_class,scheduled_weight,rb_bout,rb_bout_opponent,title_fight,referee,referee_id,amateur,on_site,tournament,tournament_round,disputed,otn_fight,otn_knockout,otn_submission,otn_performance,injuries_sustained
0,223608552001261823216945104848540421749,17298749728495350087774605937282640929,07.02.2022,177374713410895491647513643551850349769,130886265131767316510860597135714631384,win,confirmed,,Middleweight,185 lbs,22-1-0,15-5-0,UFC Middleweight Championship,Herb Dean,,0,1,,,,0,0,0,0,
1,223608552001261823216945104848540421749,188318857605640680892656286921839826835,07.02.2022,75959355634875093856151709173906912906,29178231844475228995496455327708981235,win,confirmed,,Featherweight,145 lbs,24-1-0,23-6-0,UFC Featherweight Championship,Marc Goddard,,0,1,,,,0,0,0,0,
2,223608552001261823216945104848540421749,17090560608770335165652918446028768993,07.02.2022,234570755583982612838849517167284406030,247491495416972678697864274942148131592,win,confirmed,,Middleweight,185 lbs,5-1-0,25-3-0,,Jason Herzog,,0,1,,,,0,0,0,0,
3,223608552001261823216945104848540421749,110867115523973036425258845766638400523,07.02.2022,136904108689323933607767636238400666567,333034352540622715426178524212616696698,win,confirmed,,Welterweight,170 lbs,17-8-0,29-15-0,,Mark Smith,,0,1,,,,0,0,0,0,
4,223608552001261823216945104848540421749,144101370972535822386662756031743623643,07.02.2022,103375601834165912548148463121046718654,203633342072110165855255822249495418823,,confirmed,,Bantamweight,135 lbs,19-7-0,15-1-0,,Jason Herzog,,0,1,,,,0,0,0,0,
5,223608552001261823216945104848540421749,102567668869681539569017453151892925663,07.02.2022,300041825857721914422486166874099393943,138487947926386624464103891522017909911,win,confirmed,,Lightweight,155 lbs,12-5-0,10-2-0,,Marc Goddard,,0,1,,,,0,0,0,0,
6,223608552001261823216945104848540421749,39118740182130304533161366223595413190,07.02.2022,148294105713478128052699540478411757493,224002995354723599110558684088391732903,win,confirmed,,Welterweight,170 lbs,34-16-0,36-16-0,,Mark Smith,,0,1,,,,0,0,0,0,
7,223608552001261823216945104848540421749,293532812126444621010920649092066582359,07.02.2022,263194868652678528276261727205275945384,301671225287208200560904879796261859435,win,confirmed,,Welterweight,170 lbs,9-0-0,11-3-0,,Chris Tognoni,,0,1,,,,0,0,0,0,
8,223608552001261823216945104848540421749,271899492728825425844244557541665522100,07.02.2022,232161760713990746387287646924822343451,62850239108153023483506961060303784878,win,confirmed,,Middleweight,185 lbs,16-2-0,19-6-0,,Mark Smith,,0,1,,,,0,0,0,0,
9,223608552001261823216945104848540421749,146457997034983662657878327403012505102,07.02.2022,14794149596421796399013384515691689629,47213679875216635804355899458783640813,win,confirmed,,Middleweight,185 lbs,22-4-0,17-10-0,,Herb Dean,,0,1,,,,0,0,0,0,
10,223608552001261823216945104848540421749,183869516493203741430949336723975858807,07.02.2022,321753869255284795066992445259405718216,225184520273190378453233986575023890020,win,confirmed,,Flyweight,125 lbs,10-2-0,15-10-0,,Jason Herzog,,0,1,,,,0,0,0,0,
11,223608552001261823216945104848540421749,158721617614677370438637262313819327918,07.02.2022,207817915350419549616926100037789605453,25309640752554680145527958582773497512,win,confirmed,,Bantamweight,135 lbs,9-6-1,11-7-0,,Chris Tognoni,,0,1,,,,0,0,0,0,
12,224041518593135439182784473556641389281,254637139002857680316108759540951194663,06.25.2022,217181912199055103013834650981981730665,336523125311337305481649301324196335265,win,confirmed,,Lightweight,155 lbs,20-1-0,18-2-0,,Jason Herzog,,0,1,,,,0,0,0,0,
13,224041518593135439182784473556641389281,50214067336791601754344212036857601141,06.25.2022,211689971646472590817741249298375020092,216872808630769263675534694371620480966,win,confirmed,,Welterweight,170 lbs,15-0-0,26-8-0,,Chris Tognoni,,0,1,,,,0,0,0,0,
14,224041518593135439182784473556641389281,45250313030134960325830712207100237839,06.25.2022,161827573762163010356379671205035484776,27588879347962610259020285886930505673,win,confirmed,,Heavyweight,265 lbs,14-5-0,8-3-0,,Mark Smith,,0,1,,,,0,0,0,0,
15,224041518593135439182784473556641389281,282911368852133437289205231077733420748,06.25.2022,155643984006265412693846555904687594180,176049872625678567600403570350556511339,win,confirmed,,Lightweight,155 lbs,15-6-0,19-9-0,,Herb Dean,,0,1,,,,0,0,0,0,
16,224041518593135439182784473556641389281,213763565209489110371455914799253903602,06.25.2022,299535703018266280429495097043704807088,228120844421279927926218954227467640188,win,confirmed,,Bantamweight,135 lbs,14-0-0,14-1-0,,Jason Herzog,,0,1,,,,0,0,0,0,
17,224041518593135439182784473556641389281,227826229686590009944496180065357993922,06.25.2022,306608593837083593704314916534913611809,120227054374648930924817910661464833116,win,confirmed,,Middleweight,185 lbs,28-8-0,8-1-0,,Mark Smith,,0,1,,,,0,0,0,0,
18,224041518593135439182784473556641389281,162385035697617221342241026113498801588,06.25.2022,282904243915334170862052653872922192965,260154877203603314585186939806205118285,win,confirmed,,Flyweight,125 lbs,12-4-1,9-4-0,,Mark Smith,,0,1,,,,0,0,0,0,
19,224041518593135439182784473556641389281,106097360930720807467529254889279074609,06.25.2022,34108623131791011062914233945811591892,149874336392771564628945647506310806509,win,confirmed,,Bantamweight,135 lbs,9-2-0,24-13-0,,Herb Dean,,0,1,,,,0,0,0,0,
20,224041518593135439182784473556641389281,44885613592645850216806510917367743112,06.25.2022,330791247959954052110120891557613139932,295407473996167329765259224424102766348,win,confirmed,,Strawweight,115 lbs,7-4-0,11-6-0,,Chris Tognoni,,0,1,,,,0,0,0,0,
21,45734099645062835449508207938177118971,233546173762549205024891187961769666685,03.05.2022,240067116988588853936865556792168639838,134103310053389464477572489725136222880,win,confirmed,,Welterweight,170 lbs,16-3-0,35-15-0,,Herb Dean,,0,1,,,,0,0,0,0,
22,45734099645062835449508207938177118971,289603475751726825696500572250291366973,03.05.2022,242221670630186380983345474233301076727,179162246312226880065156365055437604473,win,confirmed,,Catchweight,160 lbs,30-13-0,16-4-1,,Marc Goddard,,0,1,,,,0,0,0,0,
23,45734099645062835449508207938177118971,3542848351752668257076093335538201509,03.05.2022,328125184554170841710838509424263685563,329474494334355568550255201994806579740,win,confirmed,,Featherweight,145 lbs,14-0-0,22-10-0,,Mark Smith,,0,1,,,,0,0,0,0,
24,45734099645062835449508207938177118971,186390461460579080925201121837132768184,03.05.2022,178751325694766006283203633988328061614,222125281911867190911157401542877570037,win,confirmed,,Welterweight,170 lbs,21-7-0,22-11-1,,Chris Tognoni,,0,1,,,,0,0,0,0,
25,45734099645062835449508207938177118971,242656334690890495632601630388201447225,03.05.2022,315387645267359285996894710593772050810,131868452819450743419760245706249021847,win,confirmed,,Heavyweight,265 lbs,13-3-0,7-4-0,,Marc Goddard,,0,1,,,,0,0,0,0,
26,45734099645062835449508207938177118971,296308056192553392172857363115979494683,03.05.2022,24419041526166578974312797420334353459,277872481336130618207833266861634736167,win,confirmed,,Lightweight,155 lbs,11-5-0,14-4-0,,Herb Dean,,0,1,,,,0,0,0,0,
27,45734099645062835449508207938177118971,44030918702528765611817280108389521483,03.05.2022,326359021846241831700837949596657657140,246958864966132893317270929970854593754,win,confirmed,,Strawweight,115 lbs,15-1-2,14-2-0,,Chris Tognoni,,0,1,,,,0,0,0,0,
28,45734099645062835449508207938177118971,148444725465018821430025041554630667105,03.05.2022,116218238309205385192812508574530533333,299330293866818000459252226283165598929,win,confirmed,,Heavyweight,205 lbs,11-1-0,9-2-0,,Mark Smith,,0,1,,,,0,0,0,0,
29,45734099645062835449508207938177118971,317036336501555269490913590850068665351,03.05.2022,214181284639042180075375606516974498750,60472504477403469390251658567830567303,win,confirmed,,Flyweight,125 lbs,10-3-0,10-2-0,,Herb Dean,,0,1,,,,0,0,0,0,
30,45734099645062835449508207938177118971,144222113431035588388626322520952146906,03.05.2022,44321193051309622744038348526692002794,169065780351081575137428895533743516438,win,confirmed,,Featherweight,145 lbs,13-0-0,24-12-0,,Marc Goddard,,0,1,,,,0,0,0,0,
31,45734099645062835449508207938177118971,160233348895746108013371594785688233492,03.05.2022,18580657536338191185341792635601068747,106445124121534882676560771803709602843,win,confirmed,,Flyweight,125 lbs,17-12-1,13-1-0,,Chris Tognoni,,0,1,,,,0,0,0,0,
32,45734099645062835449508207938177118971,137943854320927365194118773483820206680,03.05.2022,52751627393426137401686966306375673441,160584982662844817573715935749767449354,win,confirmed,,Lightweight,155 lbs,17-4-0,11-3-0,,Marc Goddard,,0,1,,,,0,0,0,0,
33,45734099645062835449508207938177118971,221191522851406314892908692674796698228,03.05.2022,106213839672799367606736783753909065862,272620599784588002962911718051623880872,win,confirmed,,Heavyweight,205 lbs,16-5-1,16-4-0,,Mark Smith,,0,1,,,,0,0,0,0,
34,237794830926130534034864648359385512464,151895672660182920266184961032762231676,02.26.2022,269095137542511963097922658161895655705,240460878836183043223741326037054601250,win,confirmed,,Catchweight,160 lbs,21-1-0,29-12-1,,Herb Dean,,0,1,,,,0,0,0,0,
35,237794830926130534034864648359385512464,286466025507265717834309285617774606190,02.26.2022,70121642281994255409792496029627110714,33061867175597111588198124117515987987,win,confirmed,,Middleweight,185 lbs,17-5-0,15-7-0,,Mark Smith,,0,1,,,,0,0,0,0,
36,237794830926130534034864648359385512464,219081390250349828997408437133971001294,02.26.2022,8702079941459971024531676166081347394,225446045338425322554457951726448658485,win,confirmed,,Flyweight,125 lbs,10-4-0,9-4-2,,Keith Peterson,,0,1,,,,0,0,0,0,
37,237794830926130534034864648359385512464,222228441005479920954891582715089920972,02.26.2022,249246142064943905332573057797746994161,338350684905919870673915220091704614294,win,confirmed,,Middleweight,185 lbs,6-1-0,11-3-0,,Jason Herzog,,0,1,,,,0,0,0,0,
38,237794830926130534034864648359385512464,61940491804622341925269282957684286292,02.26.2022,276228814963722968824240497703799624109,75959136232080529984912248032495887700,win,confirmed,,Lightweight,155 lbs,12-4-0,21-4-0,,Keith Peterson,,0,1,,,,0,0,0,0,
39,237794830926130534034864648359385512464,126967811284668497820798180448631942457,02.26.2022,221919193017709236015501741406530813978,152595650384209777032137086107445949594,win,confirmed,,Featherweight,145 lbs,8-1-0,6-2-0,,Mark Smith,,0,1,,,,0,0,0,0,
40,237794830926130534034864648359385512464,302912889915247524501552264434349725058,02.26.2022,67105031834127803363604793115318487843,157232155913079500736438820076372724872,win,confirmed,,Lightweight,155 lbs,11-3-0,12-3-0,,Herb Dean,,0,1,,,,0,0,0,0,
41,237794830926130534034864648359385512464,324508780748165020281853111318049955679,02.26.2022,113070957065414035269198952375988854874,2613877312287339236777396864902735252,win,confirmed,,Featherweight,145 lbs,14-4-0,22-8-1,,Jason Herzog,,0,1,,,,0,0,0,0,
42,237794830926130534034864648359385512464,70082582112620479929396582178258400622,02.26.2022,302477903228538982658469246261412195372,160872812916055368786796402090073522440,win,confirmed,,Welterweight,170 lbs,9-4-0,6-4-0,,Mark Smith,,0,1,,,,0,0,0,0,
43,237794830926130534034864648359385512464,228344602523527719427331835743918872839,02.26.2022,312551305293584113661161629348037618071,259295140961912297864710002560607549805,win,confirmed,,Flyweight,125 lbs,7-1-0,10-1-0,,Chris Tognoni,,0,1,,,,0,0,0,0,
44,213360075759662799633314976634690907097,235539323405201547478545861957058997132,01.15.2022,96948913891812594861838754960535650534,117540127890731263864188787387595025141,win,confirmed,,Featherweight,145 lbs,22-5-0,14-2-0,,Keith Peterson,,0,1,,,,0,0,0,0,
45,213360075759662799633314976634690907097,165280775030761321439920608576293992070,01.15.2022,165831624522509712281979714341823866064,267506100604694780583969878933757713060,win,confirmed,,Heavyweight,265 lbs,12-6-0,15-8-0,,Herb Dean,,0,1,,,,0,0,0,0,
46,213360075759662799633314976634690907097,40784741775439733542892684854761180221,01.15.2022,309408750082030050392962739826214695786,17063799782439201162878453587411416161,win,confirmed,,Flyweight,125 lbs,12-6-0,17-3-0,,Mark Smith,,0,1,,,,0,0,0,0,
47,213360075759662799633314976634690907097,26805675777139680372775402093817880418,01.15.2022,193140492770982954483093596468628697983,136928399632258410313591149420547871039,win,confirmed,,Flyweight,125 lbs,16-4-0,19-7-1,,Chris Tognoni,,0,1,,,,0,0,0,0,
48,213360075759662799633314976634690907097,210689039120759025488362132564867164107,01.15.2022,275158761096540169248559860629706912131,116108024598965484607363587011848325466,win,confirmed,,Lightweight,155 lbs,5-1-0,8-3-0,,Herb Dean,,0,1,,,,0,0,0,0,
49,213360075759662799633314976634690907097,130796480635735941405677285258615779133,01.15.2022,304914560211509259616923519007126520472,52185237924532509928938488921176683123,win,confirmed,,Featherweight,145 lbs,14-6-0,12-2-1,,Keith Peterson,,0,1,,,,0,0,0,0,
50,213360075759662799633314976634690907097,257910539687145844986507849397307604543,01.15.2022,109230032011869787828502264402356471619,11026574661437154104624308775826487813,win,confirmed,,Middleweight,185 lbs,12-6-0,7-1-0,,Mark Smith,,0,1,,,,0,0,0,0,
51,213360075759662799633314976634690907097,256206420141991968109920001015768555511,01.15.2022,315447883369458009331800159710537803878,22782012553241770136866269708538057970,win,confirmed,,Welterweight,170 lbs,20-10-0,9-3-0,,Chris Tognoni,,0,1,,,,0,0,0,0,
52,213360075759662799633314976634690907097,315729197466144578149729664785663188619,01.15.2022,258163682680835851666463090654159067074,263199238716552310566181657837864202517,win,confirmed,,Featherweight,145 lbs,23-12-0,21-13-0,,Keith Peterson,,0,1,,,,0,0,0,0,
53,213360075759662799633314976634690907097,202324363708075280673071587858617397593,01.15.2022,90361211836254966610293537637252091780,10528374488997067529875336685637553748,win,confirmed,,Lightweight,155 lbs,15-8-0,14-6-0,,Mark Smith,,0,1,,,,0,0,0,0,
54,266610394002092909724986858418434266939,160327159940757790188957974408177958676,12.18.2021,253126540920005628166603946142254472730,141227924784598726225552872597591361184,win,confirmed,,Heavyweight,265 lbs,25-8-0,12-3-0,,Mark Smith,,0,1,,,,0,0,0,0,
55,266610394002092909724986858418434266939,264792331115870951145315712516956899760,12.18.2021,12535416056378576574013232376294828195,124991023662782347731689226531399984758,win,confirmed,,Welterweight,170 lbs,19-3-0,16-5-1,,Herb Dean,,0,1,,,,0,0,0,0,
